name,latitude,longitude
Chợ Vườn Chuối,10.7722404,106.6841467
Cao Thắng,10.7696813,106.681737
Công viên Lê Văn Tám,10.7871928,106.6927446
Nhà thờ Tân Định,10.7892203,106.6903304
Trần Quang Khải,10.7910093,106.6879654
Chợ Đakao,10.7924976,106.6948579
Viện Pasteur,10.7858932,106.688326
Lý Chính Thắng,10.7892295,106.6846521
Chùa Vĩnh Nghiêm,10.7906868,106.6830812
Trung tâm Văn hoá Quận Phú Nhuận,10.7954552,106.6759988
Cổng Xe lửa,10.79687,106.6736192
Bệnh viện Quận Phú Nhuận,10.7986222,106.6705919
Rạp Tân Sơn Nhất,10.8025381,106.6659124
Bãi xe buýt Phổ Quang,10.8053294,106.6666602
Cây xăng Quân đội  - 96-100 Phổ Quang,10.8071967,106.6684624
Trường Đại học Kỹ thuật Công nghệ,10.8082357,106.6722317
Đầu Đường Đào Duy Anh,10.8079879,106.6740936
Cuối Đường Đào Duy Anh,10.8059264,106.6772195
Ngã ba Đào Duy Anh,10.8048707,106.6777718
Trung tâm Hội nghị Tiệc cưới White Palace,10.7999921,106.6750228
Cuối công viên Gia Định,10.8097474,106.6749061
Cuối Công viên Gia Định,10.8101063,106.6748944
Đầu Công viên Gia Định,10.8131373,106.6779114
Cầu vượt Nguyễn Thái Sơn - Nguyễn Kiệm,10.8162398,106.6804333
Ngã ba Phạm Ngũ Lão,10.8196997,106.6831117
Trạm Xe Bus UBND Phường 3,10.8199071,106.6831457
Cầu vượt Ngã sáu Gò Vấp,10.8237109,106.678986
Trường Cao đẳng Hải quan,10.8124847,106.6786928
Chùa Vạn Hạnh,10.8103396,106.6785381
Co.op Mart Nguyễn Kiệm,10.8070805,106.6784961
Ngã ba Hồ Văn Huê,10.8051009,106.6787217
Nhà Truyền thông,10.8022474,106.6791754
Ngã tư Phú Nhuận,10.7997538,106.680097
Trường Cao đẳng Kinh tế Đối ngoại,10.7978974,106.6808892
Cầu vượt Ngã sáu Gò Vấp,10.8289815,106.6787703
Cầu vượt Ngã sáu Gò Vấp,10.8284951,106.6788602
Cư xá Lam Sơn,10.8361073,106.6755947
Đài Liệt sĩ,10.8392755,106.6758416
Bến Đò,10.8467986,106.6784211
Bến Đò,10.8469995,106.6783213
Cầu An Lộc,10.8491376,106.6787628
Ngã tư Ga,10.8573287,106.6798249
Ngã tư Ga,10.8579377,106.6796912
Công an Quận Phú Nhuận,10.7955336,106.6777416
Trạm Xe Bus Lý Chính Thắng - Huỳnh Tịnh Của,10.7900952,106.6862268
Thượng Uyển,10.8062464,106.6362221
Thượng Uyển,10.8061152,106.6360475
Lý Tự Trọng,10.777076,106.699669
Lê Duẩn,10.7782907,106.6983598
Nguyễn Thị Minh Khai,10.7798086,106.6967169
Đại học Kiến trúc,10.7816448,106.6947138
Điện Biên Phủ,10.7834477,106.6927287
Điện Biên Phủ,10.783203,106.6909482
Co.opmart Nguyễn Đình Chiểu,10.7812374,106.6931136
Chùa Ông,10.7740107,106.6997984
UBND Phường 11,10.7678944,106.6503686
Bình Thới - Ông Ích Khiêm,10.765551,106.6467751
Cổng chào Công viên Đầm Sen,10.7623003,106.6558603
Công viên Lãnh Bình Thăng,10.7632326,106.6502237
Trường Tiểu học Hòa Bình,10.7684025,106.6391689
Trường Trung học Cơ sở Hoàng Diệu,10.7694974,106.6339734
Trung tâm Mua sắm Hòa Bình,10.771257,106.6287413
Đầu Tô Hiệu,10.7730431,106.6274261
Cuối Tô Hiệu,10.7755079,106.6282662
Trạm Xe Bus Nguyễn Lý - Thoại Ngọc Hầu,10.7775068,106.6277592
Lê Cao Lãng,10.7785766,106.6277435
Trần Thủ Độ,10.7817523,106.6287435
Trạm Xe Bus Chợ Tân Phú,10.7823172,106.6281672
Phạm Văn Xảo,10.7835441,106.6241233
Cư xá Nhiêu Lộc,10.7876238,106.6220986
Trạm Xe Bus Ngã 3 Phú Thọ Hòa - Đỗ Đức Dục,10.7849501,106.6261308
Trạm Xe Bus Phú Thọ Hòa - Lê Văn Phan,10.7839685,106.6319412
Trạm Xe Bus KCN Tân Bình,10.8054963,106.6092708
Trạm Xe Bus Nguyễn Thông,10.7792426,106.6820441
Trần Quốc Thảo,10.7838133,106.6827193
Lê Văn Sỹ,10.7885148,106.6781779
Uỷ ban Nhân dân Phường 5,10.825148,106.6879721
Bãi hậu cần số 1,10.823964,106.691945
Nhà thờ Phú Nhuận,10.7986324,106.677556
Đoàn Văn Bơ,10.7637452,106.7040914
Chợ Xóm Chiều,10.7647449,106.7065063
Bưu điện Quận 4,10.7639393,106.7076637
Bưu điện Quận 4,10.7637282,106.7079132
